城市,区域,房屋类型,面积(平方米),房间数,客厅数,卫生间数,楼层,总楼层,建筑年份,房龄(年),朝向,装修情况,总价(元),单价(元/平方米),是否有电梯,是否有车位,是否有学区,挂牌日期
长沙,岳麓区,商住两用,134.5,4,1,1,9,17,2011,13,西北,毛坯,1315894,9784,有,有,是,2024-11-27
成都,高新区,商住两用,170.5,4,1,2,12,17,2004,20,东,毛坯,2197125,12886,有,无,是,2024-12-15
深圳,罗湖区,商住两用,67.7,3,1,3,15,22,2005,19,南,毛坯,3571929,52761,有,有,否,2025-11-10
杭州,拱墅区,别墅,482.3,6,2,3,11,21,2020,4,东,精装修,24849148,51522,有,有,否,2025-04-10
郑州,上街区,商住两用,89.9,3,1,3,2,11,2009,15,西,精装修,985932,10967,有,无,是,2025-05-18
广州,海珠区,商住两用,102.5,3,2,2,10,22,2020,4,南,简装修,3963641,38670,有,有,否,2024-11-21
青岛,市南区,写字楼,277.4,0,2,1,5,34,1991,33,东,精装修,3357621,12104,有,有,是,2025-08-20
重庆,沙坪坝区,写字楼,154.5,0,2,3,30,33,1994,30,东,精装修,1087089,7036,有,有,是,2025-04-16
青岛,李沧区,别墅,366.3,3,4,2,34,34,2001,23,东南,毛坯,7181770,19606,有,无,否,2025-04-10
郑州,金水区,写字楼,93.6,0,1,1,13,29,2003,21,西,豪华装修,718747,7679,有,有,是,2025-08-02
杭州,上城区,公寓,56.8,2,1,2,4,10,1995,29,西南,精装修,1356478,23882,有,无,否,2025-08-01
北京,西城区,普通住宅,89.8,4,1,1,23,25,2018,6,东,精装修,6454731,71879,有,无,是,2025-06-05
南京,雨花台区,公寓,34.2,2,1,2,18,23,2022,2,东北,豪华装修,1027776,30052,有,有,否,2025-06-27
成都,武侯区,别墅,227.4,3,4,3,26,32,1990,34,东,简装修,4716757,20742,有,无,是,2024-11-27
杭州,拱墅区,普通住宅,97.5,4,2,2,7,23,2010,14,南,毛坯,2693295,27624,有,无,否,2024-12-19
杭州,拱墅区,别墅,325.2,3,4,3,10,10,2001,23,北,精装修,13763220,42322,有,有,否,2025-05-17
天津,河北区,公寓,48.8,2,1,1,7,35,2002,22,东,简装修,705804,14463,有,有,是,2025-11-06
长沙,望城区,普通住宅,137.1,4,1,2,28,33,2017,7,西北,精装修,1784911,13019,有,无,是,2025-05-04
天津,南开区,公寓,70.3,2,1,2,25,35,2009,15,东北,简装修,1164690,16567,有,无,是,2024-12-05
北京,西城区,商住两用,90.4,4,2,1,32,35,1996,28,北,豪华装修,6599059,72998,有,无,否,2024-12-02
北京,西城区,别墅,463.0,4,3,2,35,35,2023,1,西北,豪华装修,64962218,140307,有,有,否,2025-02-03
重庆,沙坪坝区,普通住宅,73.5,3,1,2,23,31,2009,15,西北,毛坯,578110,7865,有,无,是,2025-08-14
西安,灞桥区,别墅,415.6,3,3,3,12,19,2017,7,东,简装修,5900176,14197,有,无,是,2025-08-01
上海,静安区,公寓,70.5,1,1,2,12,13,2018,6,西,简装修,4476148,63491,有,无,是,2025-07-02
郑州,惠济区,别墅,213.1,6,3,5,20,27,2002,22,西,豪华装修,3102093,14557,有,无,是,2025-08-30
重庆,九龙坡区,商住两用,155.2,2,2,1,27,30,2015,9,西南,简装修,1578780,10173,有,无,否,2025-10-10
武汉,硚口区,公寓,41.4,2,1,2,24,28,1999,25,东,毛坯,366774,8859,有,无,否,2025-04-25
西安,未央区,普通住宅,189.2,2,2,2,12,20,2017,7,南,简装修,1953139,10323,有,无,是,2025-02-08
长沙,望城区,普通住宅,139.5,3,1,3,19,27,2024,0,西南,简装修,1745523,12513,有,有,否,2025-10-09
大连,西岗区,普通住宅,94.1,2,2,3,5,19,2015,9,西,毛坯,1074013,11414,有,无,否,2025-07-13
长沙,开福区,公寓,33.2,1,1,1,19,31,2018,6,南,豪华装修,428481,12906,有,有,否,2025-04-09
苏州,高新区,公寓,75.8,2,1,2,11,35,2006,18,西南,精装修,1405099,18537,有,无,是,2025-02-15
天津,红桥区,普通住宅,134.9,3,2,1,35,35,1992,32,东北,豪华装修,2316988,17176,有,无,否,2025-05-20
杭州,上城区,普通住宅,61.1,4,1,2,26,29,2016,8,北,精装修,2206254,36109,有,有,是,2025-10-05
成都,青羊区,别墅,192.5,7,4,5,7,28,2019,5,西北,毛坯,4411324,22916,有,无,是,2025-09-21
成都,武侯区,公寓,67.1,1,1,1,4,20,2003,21,西,豪华装修,858585,12796,有,无,是,2025-04-06
成都,成华区,别墅,151.6,4,4,2,16,27,2011,13,东南,豪华装修,3803000,25086,有,有,否,2025-03-09
武汉,江汉区,商住两用,156.4,4,1,2,7,14,2022,2,北,精装修,2115579,13527,有,无,否,2025-01-17
南京,玄武区,别墅,184.5,6,3,5,17,27,2005,19,西北,豪华装修,8376014,45398,有,无,是,2025-04-17
杭州,下城区,公寓,30.8,2,1,1,28,35,1992,32,东南,简装修,743752,24148,有,有,是,2025-01-31
杭州,拱墅区,普通住宅,185.5,3,2,3,10,13,2016,8,西南,简装修,6417340,34595,有,有,否,2025-11-07
成都,高新区,别墅,387.6,4,4,3,35,35,2001,23,东北,毛坯,6285967,16218,有,有,是,2025-08-23
长沙,望城区,别墅,223.8,3,2,5,24,28,1992,32,西,精装修,3697854,16523,有,无,是,2024-11-17
西安,灞桥区,公寓,66.8,2,1,1,8,34,2003,21,西,豪华装修,603100,9028,有,有,否,2025-10-27
大连,旅顺口区,写字楼,160.9,0,2,2,7,8,1999,25,西,精装修,1444230,8976,有,有,否,2025-03-04
南京,建邺区,公寓,36.8,1,1,2,8,18,1993,31,东北,简装修,707000,19212,有,无,是,2025-09-13
西安,雁塔区,商住两用,62.1,2,1,2,29,35,2000,24,北,豪华装修,647955,10434,有,有,否,2025-08-22
成都,青羊区,商住两用,157.0,2,2,3,18,24,2007,17,西南,豪华装修,3121252,19881,有,有,是,2025-03-18
重庆,渝中区,别墅,433.4,5,2,3,16,30,2005,19,西,豪华装修,6266269,14458,有,无,否,2025-10-19
上海,虹口区,普通住宅,86.4,4,2,2,12,23,1994,30,东北,豪华装修,4580791,53018,有,无,否,2025-02-09
长沙,望城区,公寓,41.0,2,1,2,6,22,1995,29,东,精装修,411846,10045,有,有,否,2025-03-08
北京,东城区,写字楼,99.3,0,2,1,20,25,2024,0,西,毛坯,5773991,58147,有,无,是,2025-02-27
杭州,江干区,商住两用,80.1,3,2,2,26,28,1990,34,北,简装修,2150333,26846,有,无,是,2025-05-02
大连,甘井子区,公寓,30.3,2,1,2,18,30,2020,4,西,精装修,429593,14178,有,无,是,2024-12-15
深圳,福田区,商住两用,161.1,2,2,3,7,7,2017,7,东南,简装修,11965864,74276,有,有,否,2025-06-26
天津,南开区,普通住宅,112.7,2,2,3,10,28,1996,28,东南,豪华装修,2326010,20639,有,无,是,2024-11-16
大连,中山区,公寓,67.7,2,1,1,8,26,2005,19,北,毛坯,587746,8682,有,无,是,2025-04-09
武汉,汉阳区,普通住宅,190.4,2,2,2,25,29,2017,7,东,精装修,2349341,12339,有,有,否,2025-09-22
成都,高新区,商住两用,106.6,2,1,3,20,27,1992,32,西南,豪华装修,1902733,17849,有,有,否,2025-08-28
苏州,吴中区,商住两用,97.5,3,1,3,28,33,2018,6,西南,豪华装修,2535386,26004,有,无,是,2024-12-21
南京,玄武区,普通住宅,186.5,4,1,3,16,18,1991,33,东,豪华装修,4587769,24599,有,有,是,2025-05-06
西安,碑林区,别墅,185.6,4,4,5,26,34,1999,25,北,毛坯,1918695,10338,有,有,否,2025-05-16
北京,朝阳区,公寓,51.5,2,1,2,31,34,2014,10,西,毛坯,3045049,59127,有,无,否,2025-07-01
武汉,硚口区,商住两用,157.0,4,2,3,4,25,2012,12,西北,简装修,1906934,12146,有,有,是,2025-04-21
苏州,相城区,写字楼,161.1,0,2,1,9,11,2012,12,南,精装修,3138872,19484,有,有,是,2025-07-03
北京,丰台区,写字楼,162.9,0,2,3,14,17,2017,7,东北,简装修,8563954,52572,有,无,否,2024-11-29
青岛,黄岛区,公寓,40.0,2,1,1,7,31,2016,8,东北,简装修,599793,14995,有,无,是,2024-12-25
郑州,管城区,商住两用,98.0,4,1,3,2,22,1993,31,西,精装修,847929,8652,有,有,是,2025-10-18
重庆,九龙坡区,别墅,208.2,4,3,2,27,35,2003,21,西北,精装修,2453962,11787,有,无,否,2025-10-13
成都,武侯区,普通住宅,112.1,4,1,3,12,26,2022,2,南,豪华装修,2464944,21989,有,无,否,2025-11-04
北京,石景山区,普通住宅,168.1,2,1,2,8,33,2010,14,西北,毛坯,8732611,51949,有,有,是,2025-09-18
苏州,吴江区,别墅,343.8,5,4,4,2,18,2009,15,东南,简装修,9205391,26775,有,有,否,2025-01-27
天津,河西区,别墅,478.1,3,3,2,17,33,2009,15,西,精装修,12783825,26739,有,无,是,2025-02-13
深圳,龙岗区,别墅,246.3,4,2,2,9,14,2005,19,南,毛坯,18470888,74993,有,无,否,2025-06-26
天津,红桥区,别墅,481.5,7,3,2,22,31,2020,4,东,简装修,14710028,30550,有,有,否,2025-09-16
杭州,江干区,写字楼,200.8,0,2,3,16,29,1999,25,西,简装修,4526774,22544,有,有,否,2025-07-05
大连,西岗区,商住两用,133.5,4,2,2,10,15,1991,33,东,毛坯,1338802,10028,有,无,是,2025-11-06
天津,河西区,别墅,464.9,4,2,2,17,17,1993,31,南,毛坯,10531600,22653,有,有,否,2025-04-15
西安,新城区,商住两用,70.0,3,1,3,14,16,1998,26,南,精装修,735630,10509,有,无,是,2025-10-21
长沙,芙蓉区,商住两用,162.2,2,1,1,8,23,2015,9,东,精装修,1976566,12186,有,有,否,2024-12-10
北京,东城区,商住两用,153.9,4,2,1,34,35,2003,21,西北,毛坯,8169831,53085,有,无,否,2025-04-22
大连,西岗区,写字楼,144.7,0,1,3,34,35,2016,8,西北,简装修,1477002,10207,有,有,是,2025-09-01
南京,建邺区,写字楼,268.8,0,1,1,20,30,2015,9,北,豪华装修,6425251,23903,有,无,否,2025-11-08
杭州,下城区,公寓,49.8,2,1,1,20,27,1991,33,东,精装修,1266861,25439,有,无,否,2025-01-05
重庆,渝中区,别墅,258.4,7,3,4,11,15,2012,12,东北,精装修,3704008,14334,有,有,是,2025-01-31
苏州,相城区,别墅,391.1,3,3,2,25,26,2021,3,北,简装修,13599487,34772,有,有,是,2025-07-18
深圳,福田区,公寓,48.0,1,1,1,23,29,2009,15,南,简装修,3027963,63083,有,无,否,2025-06-24
成都,成华区,普通住宅,148.8,3,1,3,4,27,2019,5,西南,精装修,3072320,20647,有,有,是,2025-06-27
上海,虹口区,写字楼,183.3,0,2,3,6,17,2008,16,北,豪华装修,8466020,46187,有,无,否,2025-03-29
长沙,岳麓区,普通住宅,73.0,4,2,2,10,24,1998,26,东北,豪华装修,885270,12127,有,无,否,2025-03-18
武汉,江岸区,普通住宅,181.2,3,1,2,34,35,1990,34,南,毛坯,1791010,9884,有,无,否,2025-09-15
重庆,江北区,别墅,479.4,4,3,2,23,25,1990,34,南,毛坯,4806574,10026,有,有,否,2025-10-25
西安,新城区,商住两用,178.3,2,2,2,14,30,2008,16,南,毛坯,1661512,9319,有,无,否,2025-07-30
西安,新城区,普通住宅,196.7,4,1,2,9,33,1992,32,西,简装修,1711073,8699,有,有,是,2025-04-15
上海,静安区,普通住宅,121.8,3,1,3,24,33,2001,23,西南,毛坯,6062749,49776,有,有,否,2025-10-07
郑州,惠济区,普通住宅,198.1,4,2,1,35,35,2001,23,西北,毛坯,1389112,7012,有,有,否,2025-10-21
天津,河北区,普通住宅,132.5,3,1,3,23,30,2015,9,东南,毛坯,2060106,15548,有,无,否,2025-02-02
青岛,市南区,写字楼,63.6,0,2,3,15,26,2015,9,西南,精装修,978017,15378,有,有,是,2025-11-09
青岛,市南区,普通住宅,67.0,2,1,2,7,18,2023,1,东,毛坯,940126,14032,有,有,是,2025-03-16
深圳,福田区,别墅,492.0,3,4,3,17,33,2003,21,南,精装修,48842859,99274,有,有,是,2025-05-29
广州,番禺区,写字楼,141.9,0,2,2,11,15,2002,22,西,简装修,3669344,25859,有,有,否,2025-02-23
天津,河东区,别墅,282.1,7,2,3,17,24,2017,7,西北,毛坯,6317487,22394,有,无,否,2025-01-12
长沙,望城区,商住两用,134.5,2,1,2,9,25,2009,15,东北,毛坯,1206677,8972,有,无,是,2025-04-16
大连,西岗区,商住两用,71.0,3,2,2,29,34,2000,24,西北,精装修,805995,11352,有,有,否,2025-05-18
苏州,吴江区,公寓,47.0,2,1,2,12,26,1998,26,东北,豪华装修,878148,18684,有,无,否,2025-06-21
天津,河东区,别墅,197.8,6,2,3,6,19,2019,5,南,简装修,6423140,32473,有,无,否,2025-10-23
杭州,拱墅区,写字楼,154.4,0,2,3,22,32,2002,22,南,精装修,3850979,24942,有,无,是,2024-11-24
上海,黄浦区,普通住宅,144.1,4,2,1,31,35,2022,2,东南,简装修,11773844,81706,有,无,是,2025-01-11
广州,海珠区,公寓,64.6,2,1,2,22,28,2012,12,北,精装修,2149792,33279,有,有,是,2025-03-15
北京,丰台区,公寓,40.4,2,1,2,16,16,2020,4,东北,豪华装修,3108473,76942,有,有,是,2025-01-20
南京,建邺区,别墅,365.4,7,4,2,29,31,1996,28,西,毛坯,10266889,28098,有,有,否,2025-01-12
大连,甘井子区,公寓,46.7,2,1,2,11,30,2001,23,北,毛坯,406123,8696,有,无,否,2024-12-24
成都,武侯区,公寓,32.9,1,1,1,32,32,2005,19,南,简装修,470982,14316,有,无,否,2025-05-03
苏州,高新区,别墅,173.0,6,2,3,25,28,2024,0,西南,精装修,5944115,34359,有,有,否,2025-10-14
重庆,沙坪坝区,写字楼,241.2,0,1,3,19,32,2003,21,西,豪华装修,1803626,7478,有,有,是,2024-12-17
天津,红桥区,写字楼,130.4,0,2,2,22,34,1991,33,南,精装修,1714257,13146,有,有,否,2025-03-10
武汉,江岸区,写字楼,80.7,0,1,3,31,33,1994,30,东南,简装修,648316,8034,有,有,是,2024-12-07
西安,雁塔区,公寓,48.7,2,1,1,27,29,1990,34,西南,毛坯,360775,7408,有,有,是,2025-03-09
天津,红桥区,别墅,458.5,5,2,4,8,10,1994,30,南,毛坯,10382461,22644,有,无,否,2025-05-04
苏州,相城区,写字楼,129.9,0,1,2,23,23,1991,33,北,简装修,1795223,13820,有,无,否,2024-11-24
上海,静安区,别墅,192.1,5,4,2,6,25,2015,9,东,豪华装修,23059692,120040,有,有,是,2025-05-08
广州,荔湾区,公寓,41.4,2,1,1,27,27,2017,7,东北,毛坯,1254720,30307,有,有,是,2025-07-28
西安,未央区,商住两用,74.5,4,2,3,1,19,2010,14,东北,精装修,834648,11203,有,无,是,2025-06-21
深圳,罗湖区,写字楼,279.1,0,1,1,32,34,2015,9,南,豪华装修,16950648,60733,有,有,否,2025-07-03
西安,灞桥区,写字楼,107.1,0,2,1,12,34,2021,3,东南,毛坯,867698,8102,有,无,否,2025-06-18
武汉,洪山区,写字楼,175.0,0,2,3,21,32,1995,29,西北,简装修,1338555,7649,有,无,否,2025-05-12
郑州,中原区,公寓,60.1,1,1,2,17,28,1996,28,南,精装修,534891,8900,有,无,否,2025-07-27
重庆,渝中区,商住两用,128.5,4,1,1,31,32,2004,20,东北,精装修,1096984,8537,有,有,是,2025-09-28
深圳,龙华区,公寓,56.8,1,1,1,24,26,1995,29,西,精装修,2489847,43835,有,无,是,2025-03-22
上海,静安区,公寓,46.6,2,1,2,30,32,2000,24,西北,毛坯,2196517,47136,有,有,否,2025-06-08
广州,海珠区,普通住宅,122.4,4,1,3,4,21,2016,8,东北,简装修,4274394,34922,有,有,否,2025-07-31
武汉,洪山区,别墅,491.8,4,2,3,6,31,2017,7,东,毛坯,8281541,16839,有,有,是,2025-04-09
天津,河北区,普通住宅,95.5,4,1,1,35,35,2010,14,东,豪华装修,2121932,22219,有,有,是,2025-06-01
杭州,西湖区,商住两用,131.7,2,2,3,23,29,2008,16,东南,精装修,4663840,35413,有,有,否,2025-10-26
西安,未央区,别墅,303.2,4,2,4,11,23,2002,22,南,毛坯,4068356,13418,有,无,是,2024-12-24
郑州,管城区,写字楼,114.0,0,1,2,21,23,2011,13,东北,毛坯,752103,6597,有,有,否,2025-08-01
天津,河西区,别墅,383.3,3,2,5,16,28,2009,15,南,简装修,11311602,29511,有,有,是,2025-07-25
上海,虹口区,写字楼,185.1,0,2,1,26,30,2023,1,东南,精装修,10081484,54465,有,有,否,2025-07-04
广州,天河区,公寓,45.3,2,1,1,20,31,2005,19,西北,毛坯,1719305,37954,有,无,是,2025-04-03
南京,建邺区,商住两用,90.3,2,1,2,10,11,1993,31,东,精装修,2349790,26022,有,无,是,2024-11-26
上海,黄浦区,公寓,51.8,1,1,2,28,30,1992,32,南,毛坯,2449587,47289,有,有,是,2025-05-27
广州,天河区,写字楼,195.8,0,2,1,10,17,2007,17,西北,精装修,7874614,40218,有,无,否,2025-10-14
天津,河东区,公寓,79.5,2,1,1,21,21,2011,13,西北,毛坯,1132964,14251,有,无,否,2025-10-13
西安,新城区,公寓,62.7,1,1,1,22,28,1995,29,西南,豪华装修,612262,9765,有,有,否,2025-05-25
大连,沙河口区,写字楼,223.8,0,2,3,7,21,2017,7,西南,精装修,2334414,10431,有,有,是,2025-01-17
重庆,沙坪坝区,别墅,287.3,7,4,3,29,34,2007,17,西南,简装修,4054649,14113,有,无,是,2024-11-16
长沙,雨花区,公寓,33.9,2,1,2,17,22,1997,27,西北,毛坯,262320,7738,有,有,否,2025-10-11
武汉,硚口区,公寓,49.3,2,1,1,2,18,2010,14,西,简装修,490540,9950,有,有,是,2025-07-22
大连,西岗区,普通住宅,169.5,4,1,1,27,29,1995,29,西,豪华装修,2059333,12149,有,无,是,2024-12-10
苏州,工业园区,普通住宅,188.9,2,1,1,32,35,2015,9,西,豪华装修,4177922,22117,有,有,是,2024-12-13
大连,金州区,写字楼,65.2,0,2,1,3,15,2003,21,西南,豪华装修,692430,10620,有,无,否,2025-09-04
武汉,硚口区,普通住宅,148.7,3,1,2,26,32,2016,8,西北,毛坯,1488023,10007,有,有,是,2025-10-29
深圳,龙华区,公寓,69.1,1,1,2,35,35,2012,12,西南,简装修,3083899,44630,有,有,否,2025-03-16
广州,海珠区,公寓,48.0,1,1,2,26,31,1998,26,东,简装修,1378960,28728,有,无,是,2025-03-25
杭州,上城区,商住两用,132.8,3,2,2,23,32,1993,31,西,毛坯,2793488,21035,有,无,是,2025-04-26
武汉,硚口区,公寓,78.5,1,1,1,7,27,2003,21,东,豪华装修,947108,12065,有,有,是,2025-02-16
南京,栖霞区,商住两用,88.6,3,1,2,22,33,2010,14,东,豪华装修,2382990,26896,有,有,否,2025-06-04
深圳,宝安区,商住两用,199.9,2,1,3,35,35,2012,12,西南,毛坯,8901445,44529,有,无,是,2025-06-13
郑州,上街区,商住两用,75.1,4,1,3,26,28,2001,23,东北,简装修,654287,8712,有,无,否,2025-09-25
杭州,余杭区,商住两用,126.0,2,2,1,13,31,2018,6,西北,毛坯,3286360,26082,有,无,否,2025-08-30
苏州,吴中区,商住两用,60.9,2,2,1,34,34,2012,12,南,精装修,1367543,22456,有,无,否,2025-01-08
天津,河东区,别墅,223.5,6,3,5,4,27,2000,24,西南,毛坯,4657961,20841,有,有,是,2025-05-27
上海,浦东新区,别墅,278.9,3,2,3,30,33,2007,17,东,豪华装修,34283858,122925,有,无,是,2025-05-20
苏州,姑苏区,别墅,345.0,4,4,4,7,14,2014,10,西南,豪华装修,12144801,35202,有,有,是,2025-03-03
青岛,李沧区,商住两用,127.3,4,2,3,14,30,2024,0,西,豪华装修,2531127,19883,有,无,否,2025-04-13
青岛,崂山区,商住两用,171.0,2,1,2,33,33,2000,24,东北,豪华装修,2484461,14529,有,有,是,2025-09-25
长沙,岳麓区,普通住宅,184.4,3,2,3,7,29,2001,23,南,精装修,2068118,11215,有,无,否,2025-05-27
南京,栖霞区,别墅,399.8,7,2,2,34,34,1991,33,北,精装修,14110475,35294,有,有,是,2025-06-12
成都,武侯区,商住两用,61.2,2,2,2,11,11,2008,16,东,毛坯,765827,12514,有,有,是,2025-08-08
天津,河北区,别墅,305.9,6,2,2,12,17,1997,27,东北,简装修,6837391,22352,有,无,是,2025-10-11
长沙,天心区,商住两用,82.7,3,2,2,5,21,1993,31,西,简装修,826288,9991,有,无,否,2025-07-21
西安,灞桥区,公寓,65.1,2,1,1,6,13,1993,31,西北,豪华装修,600686,9227,有,无,是,2025-01-06
北京,西城区,公寓,63.1,1,1,1,29,34,2017,7,南,精装修,4805845,76162,有,无,是,2025-02-17
重庆,沙坪坝区,写字楼,130.2,0,2,1,30,35,2001,23,西,简装修,811618,6234,有,有,否,2025-01-27
武汉,武昌区,商住两用,144.3,3,2,1,3,9,2012,12,北,毛坯,1517486,10516,有,有,否,2024-12-26
重庆,九龙坡区,别墅,246.0,6,3,2,10,26,1993,31,西南,精装修,3261451,13258,有,无,否,2025-03-07
深圳,福田区,普通住宅,179.0,3,1,2,13,13,2016,8,东北,豪华装修,14307077,79928,有,有,是,2025-09-28
北京,东城区,普通住宅,179.1,4,2,3,33,34,2016,8,西,精装修,15226327,85016,有,有,是,2025-07-30
成都,青羊区,普通住宅,101.8,2,1,3,33,34,2018,6,西北,精装修,1586189,15581,有,有,否,2025-04-24
郑州,惠济区,公寓,46.3,2,1,2,6,13,2013,11,东南,豪华装修,465688,10058,有,无,是,2025-01-07
深圳,福田区,商住两用,87.5,2,2,1,11,24,2010,14,东,豪华装修,6832438,78085,有,有,是,2025-04-28
深圳,宝安区,商住两用,172.5,4,2,1,32,34,1992,32,西,精装修,7407597,42943,有,无,是,2025-05-21
西安,碑林区,商住两用,156.5,3,1,3,2,22,2018,6,南,豪华装修,2049767,13098,有,有,否,2025-01-12
上海,徐汇区,公寓,48.6,2,1,1,20,22,2001,23,东北,毛坯,2353948,48435,有,有,是,2025-07-17
青岛,市北区,普通住宅,166.7,4,1,3,8,31,2008,16,东,豪华装修,2930829,17581,有,有,否,2025-06-18
成都,金牛区,公寓,42.6,2,1,1,28,32,2020,4,北,毛坯,545888,12814,有,无,是,2025-08-15
上海,徐汇区,公寓,46.1,1,1,1,18,19,2002,22,西南,豪华装修,3023004,65575,有,有,否,2025-01-26
成都,成华区,普通住宅,151.4,4,2,2,10,27,2007,17,东,毛坯,2019998,13342,有,有,是,2025-06-15
西安,碑林区,公寓,74.4,1,1,1,8,24,2009,15,东南,简装修,733947,9865,有,有,否,2025-01-31
苏州,吴江区,写字楼,80.2,0,2,2,17,28,2019,5,西,豪华装修,1650181,20576,有,有,否,2025-07-27
长沙,望城区,商住两用,126.0,3,2,3,2,34,2002,22,东南,毛坯,1024948,8135,有,无,是,2025-08-29
上海,徐汇区,写字楼,297.0,0,1,2,16,20,2010,14,东南,简装修,17536895,59047,有,无,是,2025-08-12
天津,南开区,普通住宅,190.5,2,1,3,11,32,1996,28,东,简装修,3144922,16509,有,有,否,2025-01-27
青岛,李沧区,公寓,53.8,2,1,2,24,30,1999,25,西,豪华装修,744651,13841,有,有,否,2025-06-02
苏州,相城区,商住两用,191.0,4,2,2,2,6,2005,19,西南,简装修,3937545,20615,有,无,否,2025-08-22
北京,西城区,商住两用,123.5,4,1,3,31,34,2009,15,西南,毛坯,8123697,65779,有,无,是,2025-10-29
广州,荔湾区,写字楼,274.5,0,2,3,34,34,2003,21,东北,毛坯,6269560,22840,有,有,否,2025-07-02
重庆,沙坪坝区,商住两用,94.7,3,2,2,26,35,2007,17,东南,简装修,805443,8505,有,有,是,2024-11-24
成都,青羊区,普通住宅,67.1,2,2,2,10,31,2018,6,南,豪华装修,1396791,20817,有,有,否,2024-12-07
重庆,九龙坡区,写字楼,123.9,0,1,3,13,24,2015,9,南,简装修,977187,7887,有,无,是,2025-09-09
南京,秦淮区,商住两用,150.9,2,1,3,8,15,1990,34,西,简装修,3403650,22556,有,有,否,2025-06-10
西安,灞桥区,写字楼,163.6,0,2,1,28,34,2011,13,东北,精装修,1479531,9044,有,无,是,2025-10-30
长沙,雨花区,公寓,49.4,2,1,1,15,19,1996,28,西南,毛坯,417800,8457,有,无,是,2024-12-21
武汉,江汉区,别墅,477.8,4,2,4,4,25,2015,9,东南,毛坯,8934567,18699,有,有,否,2025-01-24
成都,成华区,写字楼,74.7,0,1,2,1,9,2007,17,东,精装修,946292,12668,有,无,是,2025-07-31
西安,新城区,商住两用,121.7,4,1,3,1,6,2011,13,西,毛坯,1019138,8374,有,无,是,2025-01-24
郑州,二七区,商住两用,153.7,2,2,3,5,5,1993,31,东北,毛坯,1199266,7803,无,无,否,2025-04-16
青岛,市北区,别墅,279.7,3,2,3,5,12,1990,34,西南,简装修,5806000,20758,有,有,否,2025-09-30
西安,未央区,别墅,251.1,6,2,4,19,29,2004,20,西南,毛坯,3614148,14393,有,无,是,2025-03-27
广州,番禺区,别墅,161.0,5,3,2,1,11,2003,21,西,毛坯,6536445,40599,有,无,是,2025-11-14
武汉,硚口区,别墅,498.4,7,2,5,24,31,1996,28,北,精装修,8002477,16056,有,无,否,2025-02-08
深圳,福田区,别墅,389.3,4,4,4,34,35,1997,27,北,毛坯,26192575,67281,有,无,否,2025-07-10
西安,雁塔区,商住两用,145.9,4,1,1,25,27,2009,15,东北,简装修,1507814,10335,有,有,是,2024-12-27
广州,白云区,别墅,464.9,6,4,3,8,20,2001,23,北,毛坯,18053142,38832,有,无,否,2025-11-06
深圳,福田区,公寓,49.3,1,1,2,33,33,2005,19,西北,精装修,3091647,62711,有,有,是,2025-09-16
南京,雨花台区,商住两用,112.9,2,2,2,24,34,1996,28,东南,毛坯,2189856,19396,有,无,是,2025-01-01
天津,河北区,写字楼,231.4,0,2,2,10,11,2006,18,西北,精装修,3531004,15259,有,无,是,2025-09-21
北京,东城区,商住两用,194.0,2,2,1,18,24,2000,24,南,毛坯,12206186,62918,有,无,是,2025-05-19
广州,白云区,商住两用,93.0,4,1,3,4,33,2012,12,东北,简装修,3144230,33809,有,有,是,2024-12-31
天津,河北区,别墅,211.4,7,3,3,8,20,2014,10,东北,毛坯,5298108,25062,有,无,是,2025-11-12
武汉,武昌区,写字楼,218.4,0,1,2,16,31,2000,24,西南,毛坯,1604638,7347,有,无,否,2025-11-15
武汉,江岸区,别墅,233.7,4,2,2,3,32,1999,25,西南,毛坯,3157316,13510,有,有,否,2025-07-21
长沙,天心区,别墅,154.4,6,4,4,23,32,2021,3,西,毛坯,2415002,15641,有,无,否,2025-10-05
南京,雨花台区,别墅,407.6,6,3,3,19,21,2019,5,东南,豪华装修,22360345,54859,有,有,是,2025-07-05
长沙,望城区,公寓,36.6,1,1,1,30,31,2005,19,北,毛坯,318321,8697,有,有,否,2025-01-27
成都,青羊区,普通住宅,74.4,4,2,2,30,30,2021,3,西,毛坯,994907,13372,有,无,否,2025-05-12
大连,沙河口区,别墅,239.2,5,2,2,22,29,2019,5,东南,毛坯,4244833,17746,有,有,否,2025-10-23
长沙,芙蓉区,公寓,58.2,2,1,1,33,34,2017,7,北,简装修,623674,10716,有,无,否,2025-07-05
广州,番禺区,写字楼,276.9,0,2,3,34,34,2003,21,西南,简装修,6857070,24764,有,无,否,2025-06-05
武汉,江岸区,写字楼,156.9,0,1,1,31,31,1999,25,东北,简装修,1282565,8174,有,有,是,2024-12-16
西安,未央区,公寓,44.6,2,1,1,32,33,2021,3,西北,豪华装修,486200,10901,有,无,否,2025-01-07
南京,鼓楼区,公寓,33.7,2,1,1,8,12,1991,33,南,简装修,680764,20201,有,无,否,2025-08-23
大连,西岗区,公寓,70.2,1,1,2,15,26,2013,11,西北,毛坯,722924,10298,有,有,是,2024-12-31
青岛,崂山区,别墅,306.3,7,4,4,35,35,2012,12,西,豪华装修,8004573,26133,有,有,否,2025-09-09
青岛,黄岛区,别墅,481.4,6,3,5,8,32,2019,5,西北,简装修,12205015,25353,有,有,是,2025-09-01
